D-Logic生データナレッジファイル構築完了レポート V2
============================================================
完了時刻: 2025-08-08 16:33:25
処理時間: 0.4時間（23.6分）

[最終結果]
収録馬数: 37,878頭
スキップ: 0頭（3走未満）
エラー: 6件
JSONファイルサイズ: 149.1MB

[収録データ仕様]
- 対象期間: 2020-2025年
- 収録条件: 3走以上
- データ内容: 各馬の最新5走（最大）の生データ
- 用途: D-Logic12項目分析の計算元データ

[収録馬一覧]（アルファベット順）
------------------------------------------------------------
    1. AUGUSTE RODIN                  3走 最終出走: 2024/09/14
    2. ROMANTIC WARRIOR               3走 最終出走: 2023/12/10
    3. TUZ                            3走 最終出走: 2024/03/30
    4. アアラヴァ                          5走 最終出走: 2023/02/14
    5. アイアイテーラー                       4走 最終出走: 2021/08/22
    6. アイアイハッピー                       4走 最終出走: 2020/04/02
    7. アイアイヨークン                       3走 最終出走: 2021/06/08
    8. アイアゲート                         5走 最終出走: 2024/02/04
    9. アイアコス                          5走 最終出走: 2022/07/03
   10. アイアス                           5走 最終出走: 2021/11/30
   11. アイアムイチオシ                       5走 最終出走: 2021/12/28
   12. アイアムイチバン                       4走 最終出走: 2025/04/26
   13. アイアムイチリュウ                      5走 最終出走: 2025/01/11
   14. アイアムイブシギン                      5走 最終出走: 2024/12/23
   15. アイアムカチマショ                      5走 最終出走: 2025/02/08
   16. アイアムジュピター                      3走 最終出走: 2022/02/23
   17. アイアムスゴスギル                      5走 最終出走: 2024/03/16
   18. アイアムハヤスギル                      5走 最終出走: 2024/05/19
   19. アイアムビクトリア                      5走 最終出走: 2022/01/16
   20. アイアムピッカピカ                      5走 最終出走: 2022/11/26
   21. アイアムヤルワヨ                       5走 最終出走: 2022/04/30
   22. アイアムユウシュン                      5走 最終出走: 2025/07/05
   23. アイアムラベンダー                      5走 最終出走: 2023/03/08
   24. アイアムルンルン                       4走 最終出走: 2025/05/25
   25. アイアムレジェンド                      5走 最終出走: 2023/09/12
   26. アイアムロージー                       5走 最終出走: 2023/10/04
   27. アイアンウォール                       5走 最終出走: 2024/09/01
   28. アイアンオバーカム                      5走 最終出走: 2025/08/03
   29. アイアンオー                         5走 最終出走: 2023/08/13
   30. アイアンカレン                        3走 最終出走: 2020/03/15
   31. アイアンクロー                        4走 最終出走: 2020/11/29
   32. アイアンサイズ                        5走 最終出走: 2024/06/05
   33. アイアンストーン                       5走 最終出走: 2024/06/27
   34. アイアンソリッド                       5走 最終出走: 2025/06/14
   35. アイアンゾーン                        5走 最終出走: 2022/01/09
   36. アイアンバローズ                       5走 最終出走: 2024/11/30
   37. アイアンパシュート                      5走 最終出走: 2024/11/01
   38. アイアンフラワー                       5走 最終出走: 2024/05/31
   39. アイアンブルー                        5走 最終出走: 2021/03/16
   40. アイアンプラン                        3走 最終出走: 2020/09/26
   41. アイアンポート                        5走 最終出走: 2022/07/15
   42. アイアンマジン                        4走 最終出走: 2023/09/21
   43. アイアンムスメ                        5走 最終出走: 2025/07/22
   44. アイアンムーン                        5走 最終出走: 2025/05/23
   45. アイアンメイデン                       5走 最終出走: 2020/11/24
   46. アイアンユウキャン                      5走 最終出走: 2022/04/21
   47. アイアンランラン                       5走 最終出走: 2023/07/02
   48. アイアンレディ                        5走 最終出走: 2024/11/25
   49. アイアンロマン                        5走 最終出走: 2025/03/07
   50. アイウィル                          5走 最終出走: 2025/07/26
   51. アイウィルビー                        5走 最終出走: 2024/10/27
   52. アイウォール                         5走 最終出走: 2023/05/17
   53. アイエススター                        5走 最終出走: 2024/07/24
   54. アイエンジェル                        5走 最終出走: 2024/03/07
   55. アイオブザストーム                      5走 最終出走: 2025/08/03
   56. アイオライト                         5走 最終出走: 2024/05/12
   57. アイオリア                          5走 最終出走: 2025/08/03
   58. アイオロス                          5走 最終出走: 2022/04/04
   59. アイオープナー                        5走 最終出走: 2022/01/30
   60. アイオーン                          5走 最終出走: 2022/07/17
   61. アイカチャン                         5走 最終出走: 2025/03/01
   62. アイカプチーノ                        5走 最終出走: 2025/02/14
   63. アイカムインピース                      3走 最終出走: 2024/04/14
   64. アイカリトマナカ                       5走 最終出走: 2023/03/10
   65. アイガイッパイ                        5走 最終出走: 2024/09/11
   66. アイガットユー                        5走 最終出走: 2025/04/14
   67. アイガー                           3走 最終出走: 2025/05/22
   68. アイガーテソーロ                       5走 最終出走: 2022/07/16
   69. アイキャンテーラー                      5走 最終出走: 2021/04/24
   70. アイキャンドウイッ                      5走 最終出走: 2025/07/06
   71. アイキューテーラー                      3走 最終出走: 2023/10/04
   72. アイグレース                         5走 最終出走: 2024/11/25
   73. アイグローリー                        5走 最終出走: 2023/12/20
   74. アイコトバ                          5走 最終出走: 2021/12/08
   75. アイコニック                         5走 最終出走: 2020/06/21
   76. アイコンテーラー                       5走 最終出走: 2024/11/04
   77. アイゴールド                         5走 最終出走: 2024/04/18
   78. アイサイテーラー                       3走 最終出走: 2021/06/20
   79. アイサイト                          5走 最終出走: 2025/07/27
   80. アイサマン                          5走 最終出走: 2024/06/26
   81. アイサンサン                         5走 最終出走: 2025/05/25
   82. アイザック                          3走 最終出走: 2024/11/27
   83. アイザックバローズ                      5走 最終出走: 2025/05/18
   84. アイシーブルー                        5走 最終出走: 2020/11/21
   85. アイスキング                         5走 最終出走: 2024/02/15
   86. アイスグリーン                        5走 最終出走: 2025/07/05
   87. アイスケイブ                         5走 最終出走: 2023/12/26
   88. アイスシェルフ                        5走 最終出走: 2024/12/31
   89. アイスジェイド                        5走 最終出走: 2023/08/12
   90. アイスジャイアント                      5走 最終出走: 2024/04/06
   91. アイスストーム                        5走 最終出走: 2020/10/11
   92. アイスソード                         5走 最終出走: 2023/01/02
   93. アイスナイン                         5走 最終出走: 2022/07/30
   94. アイスノート                         5走 最終出走: 2024/05/21
   95. アイスバブル                         5走 最終出走: 2022/08/21
   96. アイスフィヨルド                       5走 最終出走: 2021/08/28
   97. アイスフィールド                       5走 最終出走: 2025/06/22
   98. アイスフォーゲル                       5走 最終出走: 2023/02/19
   99. アイスブラスト                        5走 最終出走: 2022/02/26
  100. アイスブレイカー                       5走 最終出走: 2025/02/16
  101. アイスボウル                         5走 最終出走: 2024/02/27
  102. アイスマン                          5走 最終出走: 2024/05/16
  103. アイスムーン                         5走 最終出走: 2024/11/02
  104. アイスモント                         5走 最終出走: 2025/08/03
  105. アイスラリマー                        5走 最終出走: 2025/01/27
  106. アイスランドポピー                      5走 最終出走: 2024/10/27
  107. アイスリアン                         5走 最終出走: 2023/12/10
  108. アイスリンディ                        5走 最終出走: 2025/05/10
  109. アイスリーディング                      5走 最終出走: 2025/06/21
  110. アイスヴィスタ                        5走 最終出走: 2024/12/09
  111. アイスヴィレッジ                       5走 最終出走: 2025/05/25
  112. アイズ                            5走 最終出走: 2025/06/08
  113. アイズダンシング                       5走 最終出走: 2024/10/21
  114. アイズミサクラ                        5走 最終出走: 2025/07/20
  115. アイゼングラフ                        5走 最終出走: 2022/11/18
  116. アイゼンヴァンド                       3走 最終出走: 2024/06/20
  117. アイソウザスター                       5走 最終出走: 2024/05/05
  118. アイソタイプ                         3走 最終出走: 2024/12/26
  119. アイソラシー                         5走 最終出走: 2025/01/11
