開催日,競馬場,レース番号,レース名,距離,コース,馬場状態,出走頭数,馬番,馬名,騎手
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,1,リーティアコナル,小崎
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,2,サイモンノーブル,高杉
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,3,シュパネントダイヤ,川田
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,4,タイキフィアリーベ,西塚
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,5,マイネルビスマルク,松若
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,6,アサガクル,団野
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,7,リビングストン,松山
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,8,ルセルマンダムール,角田和
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,9,シーラスストリーク,富田
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,10,フガート,国分優
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,11,ティプタラ,菱田
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,12,マジェスティルール,川端
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,13,ポジターノ,永島
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,14,ネオクイーン,河原田
2025-08-30,chukyo,3,3歳未勝利,2200,芝,良,15,15,レッドサジェス,吉村
2025-08-30,chukyo,4,3歳未勝利,0,芝,良,16,1,スリーローズ,和田翼
2025-08-30,chukyo,4,3歳未勝利,0,芝,良,16,2,ジャスティンロング,田口
2025-08-30,chukyo,4,3歳未勝利,0,芝,良,16,3,ランドオブファイア,岩田康
2025-08-30,chukyo,4,3歳未勝利,0,芝,良,16,4,フランキーバローズ,川田
2025-08-30,chukyo,4,3歳未勝利,0,芝,良,16,5,エーグルドール,田山
2025-08-30,chukyo,4,3歳未勝利,0,芝,良,16,6,ブラックレイ,吉村
2025-08-30,chukyo,4,3歳未勝利,0,芝,良,16,7,クリノエドガー,城戸
2025-08-30,chukyo,4,3歳未勝利,0,芝,良,16,8,モルテンコア,菱田
2025-08-30,chukyo,4,3歳未勝利,0,芝,良,16,9,アメリカンバー,富田
2025-08-30,chukyo,4,3歳未勝利,0,芝,良,16,10,オーラエグザート,高杉
2025-08-30,chukyo,4,3歳未勝利,0,芝,良,16,11,イフウドウドウ,角田和
2025-08-30,chukyo,4,3歳未勝利,0,芝,良,16,12,ペプチドモガミ,松山
